,Hackathons For School of Computing,,,,,,
S/N,Name,Host,Dates,Format,Event Details,Sign Up Form,Status
,December 2021 - January 2022,,,,,,
,,,,,,,
1,HubSpot Themes Challenge 2021,HubSpot,1 Dec 2021 - 31 Jan 2022,Submit Application,Link,Link,Submissions opened
2,TCS Codevita Season 10,Tata (TCS),December 2021: April 2022 (tentative),Online,Link,Link,Registration opened till 23 January
,,,,,,,
,February - March 2022,,,,,,
,,,,,,,
1,Digital HQ Slackathon,Slack,Deadline: 1 February 2022,Submit Application,Link,Link,Submissions opened
2,AWS Disaster Response Hackathon,AWS,Deadline: 7 February 2022,Submit Application,Link,Link,Submissions opened
3,NEAR MetaBUILD Hackathon,Google,Deadline: 10 February 2022,Submit Application,Link,Link,Submissions opened
4,Google Hash Code,Google,Deadline: 23 February 2022,Online,Link,Link,"Registration opened, hub registration closes on 17 Feb"
5,Flutter Challenge,Google,Deadline: 28 February 2022,Submit Application,Link,Link,Submissions opened
6,Google Kick Start,Google,1 February 2022 - 20 November 2022,Online,Link,Link,"Round A registration begins 1 February, and commences on 20 March"
7,Google Code Jam,Google,9 April 2022 - 6 August 2022,Online,Link,Link,"Qualification Round registration opens 1 March, commences 9 April"
8,Student to Hero Viz Challenge,Tableau,20 February 2022 - 20 March 2022,Submit Application,Link,Link,Registration opened for opening ceremony
9,J.P. Morgan Private Bank Challenge,J.P Morgan,,Submit Application,Link,Link,Application closes 27 February
10,iNTUition v8.0,NTU,26 Feb 2022 - 27 Feb 2022,Online,Link,Link,Registration closes 24 February 2359
11,Carro x AWS Hackathon,Carro,18 March 2022 - 29 March 2022,Online,Link,Link,Registration closes 13 March
12,Meter Ethereum Hackathon,Meter,14 February 2022 - 27 April 2022,Submit Application,Link,Link,Application closes 11 April
13,Graph For All Million Dollar Challenge,TigerGraph,9 February 2022 - 25 May 2022,Submit Application,Link,Link,Application closes 20 April
14,Oasis Bloom Hackathon,Oasis Foundation,10 March 2022 - 2 May 2022,Submit Application,Link,Link,Application closes 2 May
15,Neo Polaris Launchpad,Neo Global Development,12 April 2022 - 9 May 2022,Submit Application,Link,Link,Application closes 9 May